,ISO,Country,Current account balance,General government net lending/borrowing,"Gross domestic product per capita, constant prices","Gross domestic product, constant prices","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices",countriesAndTerritories,cases,deaths,popData2019,Death rate
308,DJI,Djibouti,-0.803,-2.724,-1.751,1,6.362,2.898,3.54,Djibouti,5417,61,973557,0.011260845
315,DMA,Dominica,-33.833,-4.53,-4.677,-4.677,0.813,1.752,1.831,Dominica,31,0,71808,0
301,DNK,Denmark,4.813,-7.036,-7.04,-6.5,300.621,0.7,0.7,Denmark,28932,652,5806081,0.022535601
322,DOM,Dominican Republic,-5.234,-4.408,-1.946,-0.965,198.725,3.549,3,Dominican_Republic,113350,2117,10738957,0.018676665
14,DZA,Algeria,-18.278,-14.952,-6.907,-5.157,638.363,3.5,3.3,Algeria,51847,1749,43053054,0.033733871
329,ECU,Ecuador,-5.684,-7.034,-7.569,-6.271,192.056,-0.005,0.136,Ecuador,139534,11495,17373657,0.082381355
336,EGY,Egypt,-4.257,-7.676,-0.341,1.952,"1,427.43",5.857,6.212,Egypt,103466,5956,100388076,0.057564804
357,ERI,Eritrea,10.188,-4.97,-1.642,0.109,6.64,4.461,4,Eritrea,381,0,3497117,0
1092,ESP,Spain,2.178,-9.509,-8.413,-8,"1,781.00",-0.301,-0.988,Spain,789932,32086,46937060,0.040618686
364,EST,Estonia,-2.688,-8.294,-7.547,-7.5,44.503,1.5,1.5,Estonia,3507,66,1324820,0.018819504
378,ETH,Ethiopia,-5.269,-2.993,1.612,3.237,253.102,15.366,10.24,Ethiopia,76988,1208,112078727,0.015690757
392,FIN,Finland,-3.479,-6.703,-6.212,-6.031,251.431,0.94,0.775,Finland,10204,345,5517919,0.03381027
385,FJI,Fiji,-8.181,-10.6,-6.32,-5.8,10.078,1.2,1.2,Fiji,32,2,889955,0.0625
399,FRA,France,-0.725,-9.172,-7.424,-7.18,"2,860.02",0.288,-0.698,France,589653,32155,67012883,0.054532072
406,GAB,Gabon,-8.377,-2.701,-2.477,-1.196,39.584,3,3,Gabon,8797,54,2172578,0.006138456
1274,GBR,United Kingdom,-4.38,-8.31,-7.041,-6.502,"2,975.56",1.186,1.018,United_Kingdom,467146,42268,66647112,0.090481348
413,GEO,Georgia,-10.468,-7.488,-3.485,-3.999,46.286,4.641,3.5,Georgia,7564,48,3996762,0.006345849
427,GHA,Ghana,-4.453,-9.954,-0.526,1.487,209.179,9.653,9.933,Ghana,46694,301,30417858,0.006446224
455,GIN,Guinea,-22.935,-4.256,0.41,2.92,34.585,8.5,8.1,Guinea,10735,66,12771246,0.006148114
1190,GMB,The Gambia,-9.762,-2.368,-0.491,2.5,6.614,6.747,6.184,Gambia,3585,115,2347696,0.032078103
462,GNB,Guinea-Bissau,-7.39,-4.089,-3.62,-1.5,3.664,0.848,1.1,Guinea_Bissau,2362,39,1920917,0.016511431
350,GNQ,Equatorial Guinea,-10.394,-4.756,-8.595,-5.492,26.828,1.653,2.117,Equatorial_Guinea,5045,83,1355982,0.016451933
434,GRC,Greece,-6.498,-8.974,-9.821,-10.04,293.009,-0.456,-0.637,Greece,19346,398,10724599,0.020572728
441,GRD,Grenada,-27.743,-0.431,-8.425,-8.001,1.681,0.237,0.284,Grenada,24,0,112002,0
448,GTM,Guatemala,2.588,-4.444,-3.915,-1.963,150.731,1.829,1.571,Guatemala,93090,3267,17581476,0.035095069
469,GUY,Guyana,-20.384,-0.28,52.311,52.768,10.989,1.808,1.937,Guyana,2968,85,782775,0.028638814
483,HND,Honduras,-2.01,-0.031,-4.036,-2.35,50.496,3.157,2.4,Honduras,78269,2386,9746115,0.030484611
266,HRV,Croatia,-3.985,-6.53,-8.512,-9.024,103.111,1.329,1.126,Croatia,17160,291,4076246,0.016958042
476,HTI,Haiti,-3.569,-5.128,-5.097,-4,20.135,22.189,23,Haiti,8792,229,11263079,0.026046406
497,HUN,Hungary,-0.123,-2.99,-3.05,-3.1,327.41,3.337,2.988,Hungary,29717,812,9772756,0.027324427
518,IDN,Indonesia,-3.169,-5.01,-0.504,0.499,"3,778.13",2.87,3.092,Indonesia,295499,10972,270625567,0.037130413
511,IND,India,-0.592,-7.422,0.548,1.871,"11,321.28",3.342,2.734,India,6473544,100842,1366417756,0.015577557
532,IRL,Ireland,6.265,-5.239,-7.886,-6.781,392.014,0.4,1.492,Ireland,37063,1801,4904240,0.048592936
539,IRN,Islamic Republic of Iran,-4.146,-9.812,-6.967,-5.985,"1,411.09",34.215,42,Iran,464596,26567,82913893,0.057183015
